DATE,COUNTY,DESCRIPTION
23/03/2020,Glasgow City,Arson
25/03/2020,West Midlands,Arson
01/04/2020,Essex,Arson/Sabotage
02/04/2020,West Midlands,Arson
02/04/2020,Merseyside,Arson
02/04/2020,Greater Manchester,Arson
02/04/2020,Devon,Arson
02/04/2020,Essex,Arson
03/04/2020,Merseyside,Arson
03/04/2020,Merseyside,Arson
03/04/2020,Antrim,Arson
03/04/2020,Merseyside,Arson
03/04/2020,Greater Manchester,Arson
03/04/2020,Essex,Arson
03/04/2020,London,Sabotage
03/04/2020,London,Sabotage
03/04/2020,Hertfordshire,Arson
04/04/2020,London,Arson
04/04/2020,County Durham,Arson
04/04/2020,Gwent,Arson
04/04/2020,Merseyside,Arson
04/04/2020,Merseyside,Arson
04/04/2020,London,Arson
04/04/2020,West Midlands,Sabotage
04/04/2020,Merseyside,Arson
04/04/2020,Merseyside,Arson
04/04/2020,Greater Manchester,Arson
04/04/2020,Nottinghamshire,Arson
05/04/2020,London,Arson
05/04/2020,London,Arson
05/04/2020,West Midlands,Arson
05/04/2020,Glasgow City,Arson
05/04/2020,Merseyside,Arson
05/04/2020,Merseyside,Arson
05/04/2020,Lancashire,Arson
06/04/2020,West Midlands,Arson
06/04/2020,Antrim,Arson
06/04/2020,Armagh,Arson
06/04/2020,Merseyside,Arson
06/04/2020,Merseyside,Arson
06/04/2020,Tyne and Wear,Arson
07/04/2020,West Midlands,Arson
07/04/2020,Antrim,Arson
07/04/2020,Antrim,Sabotage
07/04/2020,West Yorkshire,Arson
07/04/2020,County Durham,Arson
08/04/2020,West Yorkshire,Arson
09/04/2020,West Midlands,Arson
09/04/2020,Hertfordshire,Arson
09/04/2020,South Ayrshire,Arson
09/04/2020,Merseyside,Arson
09/04/2020,Kent,Arson
09/04/2020,West Midlands,Arson
09/04/2020,Antrim,Arson
09/04/2020,Essex,Arson
10/04/2020,West Midlands,Arson
11/04/2020,Hertfordshire,Arson
12/04/2020,West Midlands,Arson
12/04/2020,West Midlands,Arson
12/04/2020,South Yorkshire,Arson
13/04/2020,Essex,Arson
13/04/2020,Essex,Arson
14/04/2020,London,Arson
14/04/2020,West Yorkshire,Arson
14/04/2020,Merseyside,Arson
14/04/2020,West Yorkshire,Arson
14/04/2020,West Midlands,Arson/Sabotage
15/04/2020,West Midlands,Arson
15/04/2020,Merseyside,Arson
16/04/2020,West Midlands,Arson
16/04/2020,West Yorkshire,Arson
17/04/2020,London,Arson
18/04/2020,London,Arson
19/04/2020,Fife,Arson
20/04/2020,Dundee City,Arson
21/04/2020,West Midlands,Arson
21/04/2020,Northamptonshire,Arson
21/04/2020,West Sussex,Arson
21/04/2020,West Sussex,Arson
22/04/2020,West Midlands,Arson
23/04/2020,Tyne and Wear,Sabotage
25/04/2020,Hampshire,Arson
25/04/2020,West Midlands,Arson
26/04/2020,Bedfordshire,Arson
28/04/2020,Merseyside,Arson
28/04/2020,West Midlands,Sabotage
28/04/2020,London,Sabotage
30/04/2020,London,Sabotage
01/05/2020,Essex,Arson
04/05/2020,West Midlands,Arson
10/05/2020,Merseyside,Arson
10/05/2020,Warwickshire,Arson
12/05/2020,Merseyside,Arson
12/05/2020,West Midlands,Arson
15/05/2020,Tyne and Wear,Arson
15/05/2020,West Yorkshire,Arson/Sabotage
16/05/2020,West Yorkshire,Arson
16/05/2020,South Yorkshire,Arson
17/05/2020,South Yorkshire,Arson
17/05/2020,City of Edinburgh,Sabotage
20/05/2020,West Midlands,Arson
20/05/2020,West Yorkshire,Arson
22/05/2020,London,Arson
24/05/2020,Derbyshire,Arson
24/05/2020,West Glamorgan,Arson
25/05/2020,West Midlands,Arson
27/05/2020,Merseyside,Arson
30/05/2020,Buckinghamshire,Arson
08/06/2020,County Durham,Arson
10/06/2020,Merseyside,Arson
10/06/2020,Cheshire,Arson
11/06/2020,West Yorkshire,Arson
12/06/2020,West Yorkshire,Arson
18/06/2020,West Yorkshire,Arson
22/06/2020,Tyne and Wear,Arson
22/06/2020,Glasgow City,Arson
25/06/2020,Powys,Arson
27/06/2020,Tyne & Wear,Arson
27/06/2020,Cheshire,Arson
27/06/2020,Tyne & Wear,Arson
27/06/2020,Tyne & Wear,Arson
30/06/2020,Greater Manchester,Arson/Sabotage
03/07/2020,Kent,Arson
06/07/2020,Tyne & Wear,Arson
11/07/2020,Warwickshire,Arson
14/07/2020,South Yorkshire,Arson
17/07/2020,West Yorkshire,Arson
20/07/2020,Glasgow City,Arson
24/07/2020,City of Edinburgh,Arson
29/07/2020,Essex,Arson
09/08/2020,Essex,Arson
10/08/2020,Essex,Arson
10/08/2020,Essex,Arson
07/09/2020,West Yorkshire,Arson
07/09/2020,Glasgow City,Arson
10/09/2020,West Yorkshire,Arson
11/09/2020,Londonderry,Arson
16/09/2020,Bedfordshire,Arson
22/09/2020,West Yorkshire,Arson
23/09/2020,West Yorkshire,Arson
25/09/2020,West Yorkshire,Arson
26/09/2020,Somerset,Arson
29/09/2020,London,Arson
08/10/2020,West Yorkshire,Arson
13/10/2020,Tyne & Wear,Arson
04/11/2020,West Yorkshire,Arson
04/11/2020,West Yorkshire,Arson
10/11/2020,Cambridgeshire,Arson
11/11/2020,South Yorkshire,Arson